CId,Mean,Median,P99,TMedian,TP99,Error,Count
923,777.51,706.00,1194.50,706.00,1466.50,22.77,245.00
22742,17839.25,592.50,345738.50,592.50,375171.00,8.51,40.00
10220,552.00,547.00,733.50,547.00,749.00,2.11,22.00
1175,892.47,619.00,4964.50,619.00,4981.51,0.34,73.00
22979,285029.33,547.50,1450852.00,547.50,1495154.14,3.05,112.00
41570,598.75,599.00,630.50,599.00,650.00,3.09,8.00
11082,2152.06,970.50,2192.00,970.44,2192.00,0.00,3230.00
12018,842.14,754.00,1643.50,754.00,1647.07,0.22,79.00
41579,582.04,560.00,1054.00,560.00,1055.00,0.09,301.00
183,597.55,576.00,861.00,576.00,981.00,13.94,38.00
41135,610.71,621.50,851.00,621.50,983.20,15.53,204.00
11107,571.33,587.00,717.50,587.00,839.00,16.93,9.00
102,460.83,510.00,702.00,510.00,706.00,0.57,23.00
60,608.55,561.00,1243.50,561.00,2115.95,70.16,535.00
40052,1172.32,744.00,6158.50,744.00,6158.89,0.01,961.00
10832,10536.26,740.50,390249.00,740.50,779438.00,99.73,318.00
41617,678.14,674.00,691.00,674.00,705.00,2.03,7.00
12753,566.71,568.00,605.00,568.00,608.00,0.50,7.00
20346,565.55,622.50,818.50,622.50,822.10,0.44,140.00
21548,551.83,554.50,574.00,554.50,584.00,1.74,6.00
10371,624.50,632.00,1118.00,632.00,1129.28,1.01,688.00
11389,667.93,634.50,2266.50,634.50,2444.98,7.87,92.00
392,579.48,563.00,752.00,563.00,754.00,0.27,31.00
12048,2521.80,1540.00,5009.50,1539.24,5010.05,0.01,3789.00
10391,631.81,620.50,751.50,620.50,755.00,0.47,26.00
412,572.31,558.00,665.00,558.00,712.00,7.07,13.00
12814,1984.66,670.00,1148.00,670.00,1148.38,0.03,1412.00
10790,689.60,708.00,750.00,708.00,779.00,3.87,5.00
409,669.73,693.00,746.50,693.00,952.86,27.64,108.00
900,684.00,684.00,684.00,684.00,684.00,0.00,1.00
628,688.18,694.00,857.50,694.00,872.06,1.70,248.00
12352,815.11,766.50,1308.00,766.50,1330.00,1.68,36.00
22761,18966.56,561.00,738059.00,561.00,739500.64,0.20,254.00
